frame,motion_idx,motion_frame,server_motion_idx,server_frame_idx,sync_status,body_pos_max_diff,body_pos_mean_diff,dof_max_diff,dof_mean_diff
364,26,48,26,36,SYNC,0.000000,0.000000,0.741809,0.164994
365,26,49,26,36,SYNC,0.000000,0.000000,0.765019,0.172815
366,26,49,26,36,SYNC,0.000000,0.000000,0.783862,0.177301
367,26,50,26,36,SYNC,0.000000,0.000000,0.799255,0.179846
368,26,50,26,36,SYNC,0.000000,0.000000,0.811765,0.181069
369,26,51,26,36,SYNC,0.000000,0.000000,0.818301,0.177835
370,26,52,26,36,SYNC,0.000000,0.000000,0.822482,0.177996
371,26,52,26,36,SYNC,0.000000,0.000000,0.820967,0.176202
372,26,53,26,36,SYNC,0.000000,0.000000,0.815438,0.178863
373,26,53,26,36,SYNC,0.000000,0.000000,0.806551,0.180830
374,26,54,26,36,SYNC,0.000000,0.000000,0.791607,0.179213
375,26,55,26,36,SYNC,0.000000,0.000000,0.774594,0.176416
376,26,55,26,36,SYNC,0.000000,0.000000,0.753004,0.171147
377,26,56,26,36,SYNC,0.000000,0.000000,0.734932,0.164973
378,26,56,26,36,SYNC,0.000000,0.000000,0.793768,0.162421
379,26,57,26,36,SYNC,0.000000,0.000000,0.820381,0.160997
380,26,58,26,36,SYNC,0.000000,0.000000,0.833780,0.158641
381,26,58,26,36,SYNC,0.000000,0.000000,0.814570,0.154253
382,26,59,26,36,SYNC,0.000000,0.000000,0.771934,0.150190
383,26,59,26,36,SYNC,0.000000,0.000000,0.709708,0.148176
384,26,60,26,36,SYNC,0.000000,0.000000,0.615653,0.147596
385,26,61,26,36,SYNC,0.000000,0.000000,0.513497,0.152085
386,26,61,26,36,SYNC,0.000000,0.000000,0.497986,0.157622
387,26,62,26,36,SYNC,0.000000,0.000000,0.542586,0.163308
388,26,62,26,36,SYNC,0.000000,0.000000,0.584447,0.168562
389,26,63,26,36,SYNC,0.000000,0.000000,0.620174,0.172999
390,26,64,26,36,SYNC,0.000000,0.000000,0.653412,0.177761
391,26,64,26,36,SYNC,0.000000,0.000000,0.685676,0.182630
392,26,65,26,36,SYNC,0.000000,0.000000,0.718627,0.186358
393,26,65,26,36,SYNC,0.000000,0.000000,0.746140,0.189183
394,26,66,26,36,SYNC,0.000000,0.000000,0.761578,0.189214
